"StructureDefinition", "path", "sliceName", "types", "bindingStrength", "bindingValueSet"
"us-core-smokingstatus", "Observation.status", "null", "", "required", "http://hl7.org/fhir/us/core/ValueSet/us-core-observation-smoking-status-status"
"us-core-smokingstatus", "Observation.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-smoking-status-observation-codes"
"us-core-smokingstatus", "Observation.value[x]", "null", "CodeableConcept;Quantity;string;boolean;integer;Range;Ratio;SampledData;time;dateTime;Period", "preferred", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.11.20.9.38"
"us-core-implantable-device", "Device.type", "null", "", "extensible", "http://hl7.org/fhir/ValueSet/device-kind"
"us-core-practitionerrole", "PractitionerRole.code", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.30"
"us-core-practitionerrole", "PractitionerRole.specialty", "null", "", "extensible", "http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.1066"
"us-core-procedure", "Procedure.status", "null", "", "required", "http://hl7.org/fhir/ValueSet/event-status"
"us-core-procedure", "Procedure.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code"
"us-core-vital-signs", "Observation.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs"
"us-core-vital-signs", "Observation.value[x]", "null", "Quantity;CodeableConcept;string;boolean;integer;Range;Ratio;SampledData;time;dateTime;Period", "extensible", "http://hl7.org/fhir/ValueSet/ucum-vitals-common|4.0.1"
"us-core-vital-signs", "Observation.component.code", "null", "", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs"
"us-core-vital-signs", "Observation.component.value[x]", "null", "Quantity;CodeableConcept;string;boolean;integer;Range;Ratio;SampledData;time;dateTime;Period", "extensible", "http://hl7.org/fhir/ValueSet/ucum-vitals-common|4.0.1"
"us-core-organization", "Organization.address.state", "null", "string", "extensible", "http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state"
